N     Dec (radians)     RA (radians)
288     1.364451     2.248498
289     1.374374     2.584722
290     1.384297     2.920946
291     1.394220     3.257170
292     1.404144     3.593394
293     1.414067     3.929618
294     1.423990     4.265842
295     1.433913     4.602065
296     1.443837     4.938289
297     1.453760     5.274513
298     1.463683     5.610737
299     1.473607     5.946961
300     1.483530     0.000000
